text,label_text
what am l doing?? .....nothing much atm,neutral
 thanks  i love the word CRIKEY it`s like my sayin`,positive
fiiiinaaalllyyy home after driving all day. speeding ticket. torential rains. ... fun times,positive
"flying is falling, getting distracted and missing the ground",neutral
Is feelin right rite now,positive
 i hope everything works out for you at school  keep me updated and have a good day!,positive
 *happy to help*,positive
  Yeah I`m okay been icing and ace bandage and sitting on my **** on twitter... LOL Thanks,positive
"stomach cramps; sat in bed with a hot water bottle having some hot milk & toast, i feel like a wi girl again :`) minus the stomach cramps",negative
_Tech_Update Do you know your Nutty Newsire twitterfeed ones are coming through w/o links? I can`t be lazy without the links...LOL,neutral
i lost one of my best friends iï¿½m sooo sad,negative
"Very tired! Dinner good, then churro`s were good!",neutral
"Was outside playing ball with dogs, now all hot and sweaty",negative
follow friday: following more people then followers  follow me? woot #followfriday,neutral
I really need a job.,neutral
 night honey..see ya tomorrow,positive
It`s STILL not working!! Why not!! This is FRUSTRATING!!!,negative
 i`m sorry but LOL! what is this about? waitt... you think your mum would still let you do bday stuff this weekend?,neutral
 YES!! cant wait. hope these vip passes help since people already campin out hahah,positive
 it was nice to meet you tonight & thanks!!,positive
i ditched school ( i hate it ) and im taking a huge dump.......    it hurts REAL BAD!,positive
"Wolverine was much fun, but Gambit was a bit disappointing.  Neither smooth nor Cajun enough for my taste. Pretty though",neutral
"http://twitpic.com/4j95z - I don`t know why, but I LOLd.",neutral
 i have restricted driving priviledges...  and i didn`t even do anything. stupid double standards,neutral
" Lucien Kerk, one of our church vocalists",neutral
yum - mother`s day lunch at The Food Business in Burnside was delicious! such a gorgeous day,positive
 Good luck this week! I know you`ll handle it with grace,positive
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive
 YoYo door nazis refused me entry on account of no ID  gutted! Heard it was a good night tho.. Next time I`ll come prepared!,neutral
"What I would have done with legless stillborn spaniels, no idea. BUT I WAS SAD, so now, 20yrs later, strawberries = dead puppies.",negative
" SAME. its just not happening, and im going out too!. UH-OH.",negative
. Well gotdamn girl!!! I dont know what else!!!!  I`m sleepy again! Grrr,neutral
"going out with my tita gi, sister and my beloved lola! Were going to treat her for dinner! Wohoo... So excited and hungry...",positive
 and again - You`re welcome!,positive
May the Forth be with you... ha yes... Today is my birthday  Star Wars day... Aren`t i lucky you star wars Fans?,positive
 Thanks bro but I`m awake already  How are you?,positive
First time in my live that i got a little pop up on the taskbar saying that one of my files was corrupt and I needed to run chkdisk,neutral
_R_Roberts I LOOK forward to seeing and sharing,positive
is updating you LIVE from Benihana of Tokyo in Waikiki  Happy Birthday Mark!!!,positive
_crumbles all the best for art attack. thanks 4d follow,positive
wants chocolate milkkk,neutral
" I`m  yaoo, not  sonnnny",neutral
Waiting for 5:00 & having cramps,negative
i`m playing left 4 dead with my friends gilbert and louie  its so fun  happy mothers day to all your moms! ),neutral
Yesterday I heard a song about taking a base onto a plane. Can someone help me find it? I don`t know anything else about it.,neutral
loves the smell of roast in the oven - thanks  for the ideas!,positive
 i like it and all butttt your not going to have it at the august 7th concert which hurts my feelers,neutral
